Mã HP,Tên HP,Thời lượng,Số tín chỉ,TC học phí,Trọng số,Học phần điều kiện,Tên tiếng anh,Tên viết tắt,Viện quản lý
IT4807,Điều chế tương tự và số,2(2-1-0-4),2,3,0.6,,Analog and Digital Modulations,Điều chế tương tự và số,KCNTT
IT4812,Lập trình an toàn,2(2-1-0-4),2,3,0.6,,Safety Programming,Lập trình an toàn,KCNTT
IT4815,Quản trị mạng,2(2-1-0-4),2,2,0.6,,Network Administration,Quản trị mạng,KCNTT
IT4822,Lập trình hệ nhúng,2(2-1-0-4),2,3,0.6,IT4210,Embedded System Programming,Lập trình hệ nhúng,KCNTT
IT4825,Robot,2(2-1-0-4),2,3,0.6,,Robotics,Robot,KCNTT
IT4828,Các bộ điều khiển khả trình,2(2-1-0-4),2,3,0.6,,Programmable Logic Controllers,Các bộ điều khiển khả trình,KCNTT
IT4833,Ngôn ngữ lập trình khai báo ,2(2-1-0-4),2,3,0.7,IT3040,Declarative Programming Language,Ngôn ngữ lập trình khai báo ,KCNTT
IT4841,Công nghệ tác tử ,3(3-1-0-6),3,4,0.7,IT4040,Agent Technology,Công nghệ tác tử ,KCNTT
IT4843,Tích hợp dữ liệu và XML ,3(3-1-0-6),3,4,0.7,IT3090,Data Integration and XML,Tích hợp dữ liệu và XML ,KCNTT
IT4844,Xử lý thông tin mờ ,3(3-1-0-6),3,4,0.7,,Fuzzy Information Processing,Xử lý thông tin mờ ,KCNTT
IT4851,Hệ cơ sở dữ liệu đa phương tiện ,3(3-1-0-6),3,4,0.7,IT3090,Multimedia Database Systems,Hệ cơ sở dữ liệu đa phương tiện ,KCNTT
IT4852,Thiết kế và quản trị cơ sở dữ liệu ,3(3-1-0-6),3,4,0.7, IT3090/IT3590,Database Design and Management,Thiết kế và quản trị cơ sở dữ liệu ,KCNTT
IT4853,Tìm kiếm thông tin và trình diễn thông tin,3(3-1-0-6),3,4,0.7,,Information Retrieval and Presentation,Tìm kiếm thông tin và trình diễn thông tin,KCNTT
IT4854,Quản trị dự án  ,3(3-1-0-6),3,4,0.7,IT3120,Project Management,Quản trị dự án  ,KCNTT
IT4861,Thu thập và quản trị tri thức ,3(3-1-0-6),3,4,0.7,IT4040,Knowledge Acquisition and Management,Thu thập và quản trị tri thức ,KCNTT
IT4862,Học máy ,3(3-1-0-6),3,4,0.7,,Machine Learning,Học máy ,KCNTT
IT4864,Ontology và Web ngữ nghĩa ,3(3-1-0-6),3,4,0.7,"IT3090,IT4040",Ontology and Semantic Web,Ontology và Web ngữ nghĩa ,KCNTT
IT4872,Xây dựng ứng dụng hệ thống thông tin,3(2-1-1-6),3,4.5,0.7,"IT3090,IT3120",Construction of Information System Applications,Xây dựng ứng dụng hệ thống thông tin,KCNTT
IT4874,Nhập môn chương trình dịch,3(3-1-0-6),3,4,0.7,IT3010,Introduction to Compilers,Nhập môn chương trình dịch,KCNTT
IT4881,Tính toán mềm và Trí tuệ nhân tạo,3(3-1-0-6),3,4,0.7,IT3010,Soft Computing and Artificial Intelligence,Tính toán mềm và Trí tuệ nhân tạo,KCNTT
IT4882,Mật mã và Ứng dụng,3(3-1-0-6),3,4,0.7,,Theory of Cryptography and its application,Mật mã và Ứng dụng,KCNTT
IT4883,Phát triển phần mềm phân tán,3(3-1-0-6),3,4,0.7,"IT3010,IT4501",Development of Distributed Software,Phát triển phần mềm phân tán,KCNTT
IT4884,Các hệ thống nhúng và thời gian thực,3(3-1-0-6),3,4,0.7,IT3070,Embedded and Real-time Systems,Các hệ thống nhúng và thời gian thực,KCNTT
IT4891,Quản lý cấu hình phần mềm,3(3-1-0-6),3,4,0.7,IT4500,Software Configuration Management,Quản lý cấu hình phần mềm,KCNTT
IT4892,Phương pháp và công cụ đánh giá phần mềm,3(3-1-0-6),3,4,0.7,IT4500,Methods and Tools for Software Evaluation,Phương pháp và công cụ đánh giá phần mềm,KCNTT
IT4895,Công nghệ Web tiên tiến,2(2-1-0-4),2,3,0.7,IT3100,Web-based Technology: Java Approach,Công nghệ Web tiên tiến,KCNTT
IT4896,Các hệ thống dung lỗi và thích nghi,2(2-1-0-4),2,3,0.7,IT4490,Fault-tolerant and Adaptive Systems,Các hệ thống dung lỗi và thích nghi,KCNTT
IT4899,Hệ thống hướng tác tử,2(2-1-0-4),2,3,0.7,IT4490,Agent-based Systems,Hệ thống hướng tác tử,KCNTT
IT4900,Thực tập chuyên ngành,2(0-0-4-8),2,4,0.5,,Advanced Practicum,Thực tập chuyên ngành,KCNTT
IT4901,Xử lý tín hiệu ngẫu nhiên,2(2-1-0-4),2,3,0.7,,Statistical Signal Processing,Xử lý tín hiệu ngẫu nhiên,KCNTT
IT4903,Nhập môn trí tuệ nhân tạo ,2(2-1-0-4),2,3,0.7,IT3020,Introduction to Artificial Intelligence,Nhập môn trí tuệ nhân tạo ,KCNTT
IT4904,Nhập môn tính toán lưới ,2(2-1-0-4),2,3,0.7,IT4610,Introduction to Grid Computing,Nhập môn tính toán lưới ,KCNTT
IT4913,Nhập môn hệ thống nhúng ,2(2-1-0-4),2,3,0.7,IT3030,Introduction to Embedded Systems,Nhập môn hệ thống nhúng ,KCNTT
IT4915,Nhập môn công nghệ tác tử,2(2-1-0-4),2,3,0.7,IT4610,Introduction to Agent Technology,Nhập môn công nghệ tác tử,KCNTT
IT4916,Các kỹ thuật chuyển mạch,2(2-1-0-4),2,3,0.7,IT4560,Switching Techniques,Các kỹ thuật chuyển mạch,KCNTT
IT4921,Các giao thức định tuyến,2(2-1-0-4),2,3,0.7,IT3080,Routing Protocols,Các giao thức định tuyến,KCNTT
IT4922,Mạng thế hệ sau,2(2-1-0-4),2,3,0.6,IT3080,Next Generation Network,Mạng thế hệ sau,KCNTT
IT4923,Mạng công nghiệp,2(2-1-0-4),2,3,0.7,IT3080,Industrial Networks,Mạng công nghiệp,KCNTT
IT4924,Tính toán di động,2(2-1-0-4),2,3,0.7,IT4610,Mobile Computing,Tính toán di động,KCNTT
IT4925,Mô phỏng các hệ thống truyền thông ,2(2-1-0-4),2,3,0.7,IT4660,Simulation of Communications Systems,Mô phỏng các hệ thống truyền thông ,KCNTT
IT4927,Web thế hệ mới,2(2-1-0-4),2,3,0.7,,Next-Generation Web,Web thế hệ mới,KCNTT
IT5000,Thực tập tốt nghiệp ,4(0-0-8-16),4,10,0.5,,Graduation Practicum,Thực tập tốt nghiệp ,KCNTT
IT5100,Đồ án tốt nghiệp,10(0-0-20-40),10,25,0.5,IT5000=,Graduation Project,Đồ án tốt nghiệp,KCNTT
FL3080,Phương pháp nghiên cứu khoa học,3(3-1-0-6),3,4,0.5,"FL3013,FL3023,FL3033,FL3043",Research Methodology ,Phương pháp nghiên cứu khoa học,KNN
FL3118,Tiếng Anh Kỹ thuật hạt nhân,2(2-0-0-4),2,2,0.7,,English for Nuclear Engineering,Tiếng Anh Kỹ thuật hạt nhân,KNN
FL3240,Phong cách học tiếng Anh,2(2-1-0-4),2,3,0.7,"FL3014, FL3024, FL3034, FL3044",English Language Stylistics,Phong cách học tiếng Anh,KNN
FL3340,Đối chiếu ngôn ngữ,2(2-1-0-4),2,3,0.6,"FL1310,FL3210,FL3220",Linguistic Contrastive Analysis,Đối chiếu ngôn ngữ,KNN
FL3550,Phong cách học tiếng Việt,2(2-1-0-4),2,3,0.7,FL1310,Vietnamese Language Stylistics,Phong cách học tiếng Việt,KNN
FL3560,Lý thuyết Tiếng Việt,2(2-0-0-4),2,2,0.7,FL1310,Vietnamese,Lý thuyết Tiếng Việt,KNN
FL3570,Kỹ năng giao tiếp cơ bản ,2(2-0-0-4),2,2,0.6,,Basic Communication Skills,Kỹ năng giao tiếp cơ bản ,KNN
FL4051,TA Kỹ thuật điện,2(2-1-0-4),2,3,0.6,"FL3013,FL3023, FL3033, FL3043",English for Electrical Engineering,TA Kỹ thuật điện,KNN
FL4052,Tiếng Anh điện tử viễn thông,2(2-1-0-4),2,3,0.6,FL4051,English for Electronics and Telecommunications,Tiếng Anh điện tử viễn thông,KNN
FL4053,Tiếng Anh Tin học & CNTT,4(4-2-0-8),4,6,0.5,"FL3014, FL3024, FL3034, FL3044",English for Information Technology,Tiếng Anh Tin học & CNTT,KNN
FL4054,TA Cơ khí và luyện kim,3(2-2-0-6),3,4,0.5,"FL3013,FL3023, FL3033, FL3043",English for Mechanical and Metallurgical Eng.,TA Cơ khí và luyện kim,KNN
FL4055,Tiếng Anh Kinh tế và kinh doanh,4(4-1-0-8),4,5,0.5,"FL3014, FL3024, FL3034, FL3044",English for Economics and Business,Tiếng Anh Kinh tế và kinh doanh,KNN
FL4056,Tiếng Anh KH Môi trường,4(4-1-0-8),4,5,0.6,"FL3014, FL3024, FL3034, FL3044",English for Environmental Science & Technology,Tiếng Anh KH Môi trường,KNN
FL4063,Thực hành dịch nói II,2(2-1-0-4),2,3,0.8,FL4062,Interpreting II,Thực hành dịch nói II,KNN
FL4064,Thực hành dịch nói III,3(3-2-0-6),3,5,0.5,FL4063,Interpreting III,Thực hành dịch nói III,KNN
FL4065,Thực hành dịch nói IV,3(2-2-0-6),3,4,0.5,FL4064,Interpreting IV,Thực hành dịch nói IV,KNN
FL4066,Thực hành dịch nói V,2(2-0-0-4),2,2,0.8,FL4065,Interpreting V,Thực hành dịch nói V,KNN
FL4072,Thực hành dịch viết II,2(2-1-0-4),2,3,0.5,FL4071,Translation II,Thực hành dịch viết II,KNN
FL4073,Thực hành dịch viết III,3(3-2-0-6),3,5,0.5,FL4072,Translation III,Thực hành dịch viết III,KNN
FL4074,Thực hành dịch viết IV,3(2-2-0-6),3,4,0.5,FL4073,Translation IV,Thực hành dịch viết IV,KNN
FL4075,Thực hành dịch viết V,2(2-0-0-4),2,2,0.8,FL4074,Translation V,Thực hành dịch viết V,KNN
FL4080,Phương pháp giảng dạy tiếng Anh,4(3-1-0-8),4,4,0.5,"FL3013,FL3023,FL3033,FL3043",English Teaching Methodology,Phương pháp giảng dạy tiếng Anh,KNN
FL5010,Thực tập tốt nghiệp,4(0-0-8-16),4,10,1,"FL4051, FL4052, FL4053, FL4054, FL4065,FL4074",Graduation Practicum,Thực tập tốt nghiệp,KNN
FL5110,Khóa luận tốt nghiệp,7(0-0-14-28),7,17.5,0.5,"FL4051, FL4052, FL4053, FL4054, FL4065, FL4074",Graduation Project,Khóa luận tốt nghiệp,KNN
FL5210,Lý thuyết tiếng tổng hợp,3(2-1-3-6),3,7.5,1,"FL4051, FL4052, FL4053, FL4054, FL4065, FL4074",Advanced Issues in Linguistics,Lý thuyết tiếng tổng hợp,KNN
HE4011,Cơ sở lý thuyết và thiết bị cháy,3(3-1-0.5-6),3,5,0.8,,Basis of Combustion Theory and Equipments,Cơ sở lý thuyết và thiết bị cháy,VKHVCNNL
HE4012,Nhà máy nhiệt điện,3(2-1-1-6),3,4.5,0.7,HE3033,Thermal Power Plant,Nhà máy nhiệt điện,VKHVCNNL
HE4013,Hệ thống cung cấp nhiệt,3(3-1-0-6),3,4,0.8,,Heat Supply System,Hệ thống cung cấp nhiệt,VKHVCNNL
HE4014,Kỹ thuật lạnh,4(4-1-0.5-8),4,6,0.8,"HE3013,HE3023",Refrigeration Engineering,Kỹ thuật lạnh,VKHVCNNL
HE4021,Lò hơi,3(2-1-1-6),3,4.5,0.7,"HE3011, HE3013, HE3023",Boiler,Lò hơi,VKHVCNNL
HE4022,Đồ án nhà máy nhiệt điện,1(1-0-0-2),1,2,0.75,HE4012,Project in Thermal Power Plant,Đồ án nhà máy nhiệt điện,VKHVCNNL
HE4023,Kỹ thuật cháy,3(3-1-0-6),3,4,0.8,HE3023,Combustion Engineering,Kỹ thuật cháy,VKHVCNNL
HE4024,Đồ án kỹ thuật lạnh,1(1-0-0-2),1,2,0.75,HE4014,Project in Refrigeration Engineering,Đồ án kỹ thuật lạnh,VKHVCNNL
HE4031,Tua bin,3(2-1-1-6),3,4.5,0.6,"HE3011,HE3013,HE3023",Turbine,Tua bin,VKHVCNNL
HE4032,Hệ thống điều khiển quá trình nhiệt - lạnh,3(3-0-1-6),3,4.5,0.6,"HE3022, HE3032,HE4134",Thermal Process Control Systems,Hệ thống điều khiển quá trình nhiệt - lạnh,VKHVCNNL
HE4033,Truyền chất và cơ sở kỹ thuật sấy,3(2-1-1-4),3,4.5,0.6,"HE3011,HE3033",Mass Diffusion and Drying Engineering,Truyền chất và cơ sở kỹ thuật sấy,VKHVCNNL
HE4041,Đồ án lò hơi,1(1-0-0-2),1,2,0.75,HE4021,Project in Boiler,Đồ án lò hơi,VKHVCNNL
HE4042,Đồ án đo lường TĐH,1(1-0-0-2),1,2,0.75,"HE4032, HE3032",Project in Measurement and Automation,Đồ án đo lường TĐH,VKHVCNNL
HE4044,Tự động hoá kỹ thuật lạnh & ĐHKK,3(3-0-0-6),3,3,0.8,,Refrigeration & Air-conditioning System Automation,Tự động hoá kỹ thuật lạnh & ĐHKK,VKHVCNNL
HE4051,Đồ án tuabin,1(1-0-0-2),1,2,0.75,HE4031,Project in Turbines,Đồ án tuabin,VKHVCNNL
HE4053,Lò công nghiệp,3(3-1-0-6),3,4,0.8,"HE3023,(HE4023/HE4025)",Industrial Furnace,Lò công nghiệp,VKHVCNNL
HE4054,Điều hòa không khí,3(3-1-0.5-6),3,5,0.7,,Air-conditioning,Điều hòa không khí,VKHVCNNL
FL5211,Dịch nâng cao,4(2-2-4-8),4,10,1,"FL4051, FL4052, FL4053, FL4054, FL4065, FL4074, FL5210=",Advanced Translation and Interpreting,Dịch nâng cao,KNN
HE4061,Sử dụng năng lượng tiết kiệm hiệu quả,2(2-0-1-4),2,3.5,0.6,"(HE4134/HE4023/HE4011), EE2010",Energy Efficiency and Conservation,Sử dụng năng lượng tiết kiệm hiệu quả,VKHVCNNL
HE4063,Nghiên cứu khoa học,1(1-0-0-2),1,1,0.75,,Scientific Research,Nghiên cứu khoa học,VKHVCNNL
HE4064,Đồ án điều hòa không khí,1(1-0-0-2),1,2,0.75,HE4054,Project in Air-conditioning,Đồ án điều hòa không khí,VKHVCNNL
HE4073,Lò điện,2(2-1-0-4),2,3,0.8,,Electrical Furnace,Lò điện,VKHVCNNL
HE4081,"Bơm, quạt, máy nén",2(2-1-0-4),2,3,0.7,"HE3011,HE3013,HE3023","Pump, Fan, and Compressor","Bơm, quạt, máy nén",VKHVCNNL
HE4082,Nhà máy điện nguyên tử,2(2-0-0-4),2,2,0.8,"HE3033/(HE3011,HE3013,HE3023)",Nuclear Power Plant,Nhà máy điện nguyên tử,VKHVCNNL
HE4083,Đồ án lò công nghiệp,1(1-0-0-2),1,2,0.75,HE4053,Project in Industrial Furnace,Đồ án lò công nghiệp,VKHVCNNL
HE4091,Kỹ thuật xử lý phát thải,2(2-1-0-4),2,3,0.8,,Waste Pollution Processing,Kỹ thuật xử lý phát thải,VKHVCNNL
HE4092,Thiết kế hệ thống điều khiển,2(2-1-0-4),2,3,0.8,HE4032,Control System Design,Thiết kế hệ thống điều khiển,VKHVCNNL
HE4093,Đồ án kỹ thuật sấy,1(1-0-0-2),1,2,0.75,HE4033,Project in Drying Engineering,Đồ án kỹ thuật sấy,VKHVCNNL
HE4094,CĐ máy & thiết bị nhiệt lạnh,2(2-1-0-4),2,3,0.8,,Special Topics in Refrigeration Machines and Equipments,CĐ máy & thiết bị nhiệt lạnh,VKHVCNNL
HE4101,Tiếng anh chuyên ngành kỹ thuật nhiệt -lạnh,2(2-1-0-4),2,3,0.8,,English for Energy Engineering,Tiếng anh chuyên ngành kỹ thuật nhiệt -lạnh,VKHVCNNL
HE4102,Tối ưu hoá chế độ vận hành NMĐ,2(2-1-0-4),2,3,0.7,,Optimization of Thermal Power Plant Operation,Tối ưu hoá chế độ vận hành NMĐ,VKHVCNNL
HE4113,Kỹ thuật xử lý phát thải,2(2-0-0-4),2,2,0.8,"HE3011, HE3013, HE3023",Environmental Engineering,Kỹ thuật xử lý phát thải,VKHVCNNL
HE4114,NL mặt trời & NL thứ cấp,3(3-1-0-6),3,4,0.8,,Solar Energy and Secondary Energy,NL mặt trời & NL thứ cấp,VKHVCNNL
HE4121,Chuyên đề Kỹ thuật năng lượng,2(2-1-0-4),2,3,0.6,,Special Topics in Energy Engineering,Chuyên đề Kỹ thuật năng lượng,VKHVCNNL
HE4122,Mạng hệ thống nhiệt,2(2-1-0-4),2,3,0.8,,Thermal Network System,Mạng hệ thống nhiệt,VKHVCNNL
HE4123,Tiếng Anh CN máy & thiết bị lạnh,3(3-1-0-6),3,4,0.8,,English for the Refrigeration Machine and Equipments,Tiếng Anh CN máy & thiết bị lạnh,VKHVCNNL
HE4132,Đồ án thiết kế mạng nhiệt,1(1-0-0-2),1,2,0.75,HE4122,Design Project in Thermal Network,Đồ án thiết kế mạng nhiệt,VKHVCNNL
HE4133,Mô hình hóa quá trình nhiệt,3(3-1-0-6),3,4,0.8,,Thermal Process Modeling,Mô hình hóa quá trình nhiệt,VKHVCNNL
HE4134,Cơ sở kỹ thuật lạnh,3(2-1-1-6),3,4.5,0.7,"(HE3013,HE3023)/HE2010",Basis of Refrigeration and Air-conditioning,Kỹ thuật lạnh,VKHVCNNL
HE4143,Lò nung,2(2-1-0-4),2,3,0.7,,Baking Furnace,Lò nung,VKHVCNNL
HE4144,Điều tiết không khí,2(2-1-0-4),2,3,0.7,,Air-conditioning,Điều tiết không khí,VKHVCNNL
HE4151,Dao động và chẩn đoán máy rotor,2(2-1-0.5-4),2,4,0.7,,Vibration and Rotor Diagnosis,Dao động và chẩn đoán máy rotor,VKHVCNNL
HE4152,Phần nhiệt nhà máy điện,2(2-0-0-4),2,2,0.7,,Thermal System of Thermal Power Plants,Phần nhiệt nhà máy điện,VKHVCNNL
HE4153,Lò công nghiệp,2(2-1-0-4),2,3,0.7,,Industrial Furnace,Lò công nghiệp,VKHVCNNL
HE4162,Quá trình thiết bị nhiệt,2(2-1-0-4),2,3,0.7,,Thermal Process Engineering,Quá trình thiết bị nhiệt,VKHVCNNL
HE4171,Cơ sở nguồn và công nghệ năng lượng,2(2-1-0-4),2,3,0.7,HE4023/HE4011/HE3033/HE3011,Renewable energy resources and technology,Cơ sở nguồn và công nghệ năng lượng,VKHVCNNL
HE4172,Đồ án quá trình thiết bị nhiệt,1(1-0-0-2),1,2,0.7,,Project in Thermal Equipments and Processes,Đồ án quá trình thiết bị nhiệt,VKHVCNNL
HE4191,Kỹ thuật năng lượng,3(3-1-0-6),3,4,0.7,,Energy Engineering,Kỹ thuật năng lượng,VKHVCNNL
HE4201,Chế độ làm việc thay đổi của tổ hợp lò hơi – tua bin,3(3-0-0-6),3,3,0.7,HE4031,Transient Operation Mode of Turbine,Chế độ làm việc thay đổi của tổ hợp lò hơi – tua bin,VKHVCNNL
HE4211,Nồi hơi,2(2-1-0-4),2,3,0.7,,Boiler,Nồi hơi,VKHVCNNL
HE5011,Thực tập tốt nghiệp,4(0-0-8-16),4,10,0.5,,Graduation Practicum,Thực tập tốt nghiệp,VKHVCNNL
HE5012,Thực tập tốt nghiệp,4(0-0-8-16),4,10,0.5,,Graduation Practicum,Thực tập tốt nghiệp,VKHVCNNL
HE5111,Đồ án tốt nghiệp,10(0-0-20-40),10,25,0.5,,Graduation Project,Đồ án tốt nghiệp,VKHVCNNL
HE5112,Đồ án tốt nghiệp,10(0-0-20-40),10,25,0.5,,Graduation Project,Đồ án tốt nghiệp,VKHVCNNL
TEX3010,Quản lý sản xuất dệt may,2(2-1-0-4),2,3,0.7,,Production Management in Textile Enterprises,Quản lý sản xuất dệt may,KCNDMVTT
TEX3020,Quản lý chất lượng dệt may,3(3-0-0-6),3,3,0.75,,Quality Management in Textile and Garment Industry,Quản lý chất lượng dệt may,KCNDMVTT
TEX3030,Marketing dệt may,2(2-0-0-4),2,2,0.7,,Textile Marketing,Marketing dệt may,KCNDMVTT
TEX4011,Chuẩn bị dệt,2(2-0-1-4),2,3.5,0.7,,Preparation for Weaving,Chuẩn bị dệt,KCNDMVTT
TEX4021,Công nghệ kéo sợi xơ ngắn,4(4-0-1-8),4,5.5,0.7,,Spinning Technology 1,Công nghệ kéo sợi xơ ngắn,KCNDMVTT
TEX4022,Lịch sử trang phục,2(2-0-0-4),2,2,0.75,,History of Costume,Lịch sử trang phục,KCNDMVTT
TEX4023,Hóa học thuốc nhuộm,3(2-0-2-6),3,5,0.6,CH3225,Chemistry of Dyestuff,Hóa học thuốc nhuộm,KCNDMVTT
TEX4031,Công nghệ dệt kim I,3(3-0-0-6),3,3,0.75,,Knitting Technology I,Công nghệ dệt kim I,KCNDMVTT
TEX4032,Thiết bị may công nghiệp,3(3-0-0-6),3,3,0.75,,Industrial Garment Equipments,Thiết bị may công nghiệp,KCNDMVTT
TEX4033,Chất trợ hóa học,2(2-0-0-4),2,2,0.75,,Chemical Auxiliaries for Textile Industry,Chất trợ hóa học,KCNDMVTT
TEX4041,Kỹ thuật dệt thoi,3(3-0-0-6),3,3,0.75,,Weaving Technology,Kỹ thuật dệt thoi,KCNDMVTT
TEX4042,Công nghệ sản xuất sản phẩm may,2(2-0-0-4),2,2,0.75,,Technology of Clothing Manufacturing,Công nghệ sản xuất sản phẩm may,KCNDMVTT
TEX4043,Công nghệ tiền xử lý sản phẩm dệt,2(2-0-0-4),2,2,0.75,,Pretreatment Technology,Công nghệ tiền xử lý sản phẩm dệt,KCNDMVTT
TEX4051,Công nghệ dệt kim II,3(2-0-2-6),3,5,0.75,TEX4031,Knitting Technology II,Công nghệ dệt kim II,KCNDMVTT
TEX4053,Thiết bị in - nhuộm - hoàn tất,3(3-1-0-6),3,4,0.75,TEX4073,Dyeing and Finishing Equipment,Thiết bị in - nhuộm - hoàn tất,KCNDMVTT
TEX4061,Công nghệ kéo sợi 2,3(3-0-1-6),3,4.5,0.75,,Spinning Technology 2,Công nghệ kéo sợi 2,KCNDMVTT
TEX4062,Công nghệ may 2,2(1-2-0-4),2,3,0.75,TEX4042,Clothing Technology 2,Công nghệ may 2,KCNDMVTT
TEX4063,An toàn công nghiệp và môi trường,2(2-0-0-4),2,2,0.75,TEX4053,Industrial Safety and Environment,An toàn công nghiệp và môi trường,KCNDMVTT
TEX4071,Công nghệ không dệt,3(3-0-1-6),3,4.5,0.75,,Nonwoven Technology,Công nghệ không dệt,KCNDMVTT
TEX4072,Thực hành may 2,2(0-0-4-4),2,6,0.75,TEX3012/TEX4052,Sewing Practice 2,Thực hành may 2,KCNDMVTT
TEX4073,Công nghệ nhuộm,4(4-0-0-8),4,4,0.75,,Dyeing Technology,Công nghệ nhuộm,KCNDMVTT
TEX4081,Cấu tạo và thiết kế vải dệt thoi,4(4-0-0.5-8),4,5,0.75,TEX4041,Design of Woven Fabrics,Cấu tạo và thiết kế vải dệt thoi,KCNDMVTT
TEX4082,Thực hành may 3,3(0-0-6-6),3,9,0.75,TEX4072,Sewing Practice 3,Thực hành may 3,KCNDMVTT
TEX4083,Công nghệ in hoa sản phẩm dệt,2(2-0-1-4),2,3.5,0.75,TEX4023,Printing Technology,Công nghệ in hoa sản phẩm dệt,KCNDMVTT
TEX4091,Kỹ thuật dệt không thoi,2(2-0-0-4),2,2,0.7,,Shuttleless Weaving,Kỹ thuật dệt không thoi,KCNDMVTT
TEX4092,Cơ sở thiết kế trang phục,2(2-0-0-4),2,2,0.75,TEX4012,Basis of Clothing Construction,Cơ sở thiết kế trang phục,KCNDMVTT
TEX4093,Lý thuyết và kỹ thuật đo màu,2(2-0-0-6),2,2,0.7,,Colormatching Theory,Lý thuyết và kỹ thuật đo màu,KCNDMVTT
TEX4101,Cấu trúc sợi,2(2-0-0-4),2,2,0.75,TEX4021,Structure of Yarns,Cấu trúc sợi,KCNDMVTT
TEX4102,Thiết kế trang phục 1,4(3-0-2-8),4,6,0.75,TEX4092,Clothing Construction 1,Thiết kế trang phục 1,KCNDMVTT
TEX4103,Công nghệ hoàn tất sản phẩm dệt,2(2-0-0-4),2,2,0.75,,Aftertreatment Technology,Công nghệ hoàn tất sản phẩm dệt,KCNDMVTT
TEX4111,Đo lường dệt,2(2-0-0-4),2,2,0.75,,Textile Measurements,Đo lường dệt,KCNDMVTT
TEX4112,Thiết kế trang phục 2,3(3-0-1-6),3,4.5,0.75,TEX4102,Clothing Construction 2,Thiết kế trang phục 2,KCNDMVTT
TEX4121,Cấu trúc vải dệt kim,3(3-0-0.5-6),3,4,0.75,TEX4051,Structure of Knitted Fabrics,Cấu trúc vải dệt kim,KCNDMVTT
TEX4122,Đồ án thiết kế trang phục,1(1-1-0-2),1,2,0.75,TEX4112,Project in Clothing Construction,Đồ án thiết kế trang phục,KCNDMVTT
TEX4123,Tin học ứng dụng trong in-nhuộm-hoàn tất,2(2-0-0-4),2,2,0.75,,Applied Informatics in Textile Dyeing and Finishing,Tin học ứng dụng trong in-nhuộm-hoàn tất,KCNDMVTT
TEX4131,Tin học ứng dụng trong công nghệ dệt,2(1-0-2-4),2,4,0.75,,Applied Informatics in Textile Industry,Tin học ứng dụng trong công nghệ dệt,KCNDMVTT
TEX4132,Tổ chức & định mức lao động c.nghiệp may,2(2-0-0-4),2,2,0.75,,Organization & Labor Norm in Garment Industry,Tổ chức & định mức lao động c.nghiệp may,KCNDMVTT
TEX4141,Thiết kế dây chuyền công nghệ dệt,3(3-0-0-6),3,3,0.75,"TEX4061, TEX4041, TEX4051",Design of Textile Process,Thiết kế dây chuyền công nghệ dệt,KCNDMVTT
TEX4142,Thiết kế dây chuyền may,2(2-0-0-4),2,2,0.75,,Design of Sewing Line,Thiết kế dây chuyền may,KCNDMVTT
TEX4151,Đồ án thiết kế dây chuyền công nghệ dệt,1(1-1-0-2),1,2,0.75,TEX4141=,Design Project of Textile Process,Đồ án thiết kế dây chuyền công nghệ dệt,KCNDMVTT
TEX4152,Đồ án thiết kế dây chuyền may,1(0-2-0-2),1,2,0.75,,Design Project in Sewing Line,Đồ án thiết kế dây chuyền may,KCNDMVTT
TEX4153,Chuyên đề,2(2-0-0-4),2,2,0.75,,Special Topics,Chuyên đề,KCNDMVTT
TEX4161,Chuyên đề,1(1-0-0-2),1,1,0.75,,Special Topics,Chuyên đề,KCNDMVTT
TEX4162,Hình họa thời trang,2(0-4-0-4),2,4,0.75,,Fashion Drawing,Hình họa thời trang,KCNDMVTT
TEX4163,Vật liệu may,4(4-0-0-8),4,4,0.75,,Materials for Garment Products,Vật liệu may,KCNDMVTT
TEX4171,Cơ cấu máy dệt,4(4-0-0.5-8),4,5,0.75,"TEX4061, TEX4041, TEX4051",Textile Machines,Cơ cấu máy dệt,KCNDMVTT
TEX4172,Mỹ thuật trang phục,3(2-2-0-6),3,4,0.75,TEX4162=,Basis of Costume Art,Mỹ thuật trang phục,KCNDMVTT
TEX4173,Vật liệu dệt,4(4-0-0-8),4,4,0.75,,Textile Materials,Vật liệu dệt,KCNDMVTT
TEX4181,Cấu trúc vải dệt thoi,2(2-0-0.5-4),2,3,0.75,TEX4163,Structure of Woven Fabrics,Cấu trúc vải dệt thoi,KCNDMVTT
TEX4182,Tạo mẫu trang phục,2(1-2-0-4),2,3,0.75,"TEX4162, TEX4172",Fashion Design,Tạo mẫu trang phục,KCNDMVTT
TEX4183,Đại cương xử lý hóa học sản phẩm dệt,3(3-0-0-6),3,3,0.75,,Basis of Chemical Treatment for Textile Materials,Đại cương xử lý hóa học sản phẩm dệt,KCNDMVTT
TEX4191,Công nghệ sợi dệt đại cương,2(2-0-0-4),2,2,0.75,TEX4163,Basis of Textile Technology,Công nghệ sợi dệt đại cương,KCNDMVTT
TEX4192,Đồ án tạo mẫu trang phục,1(0-2-0-2),1,2,0.75,TEX4182,Project in Fashion Design,Đồ án tạo mẫu trang phục,KCNDMVTT
